"source,text,created_at,retweet_count,favorite_count,is_retweet,id_str"
"Twitter for iPhone,....again with China as our relationship with them continues to be a very good one. The quality of the transaction is far more important to me than speed. I am in no hurry but things look very good! There will be no reduction in the Tariffs currently being charged to China.,06-29-2019 22:32:40,14565,84014,false,1145097779632627712"
"Twitter for iPhone,I had a great meeting with President Xi of China yesterday far better than expected. I agreed not to increase the already existing Tariffs that we charge China while we continue to negotiate. China has agreed that during the negotiation they will begin purchasing large.....,06-29-2019 22:32:38,18978,105031,false,1145097774402342912"
"Twitter for iPhone,.....again with China as our relationship with them continues to be a very good one. The quality of the transaction is far more important to me than speed. I am in no hurry but things look very good! Their will be no reduction in the Tariffs currently being charged to China.,06-29-2019 21:22:13,4382,19495,false,1145080050724814848"
"Twitter for iPhone,I had a great meeting with President Xi of China yesterday far better than expected. I agreed not to increase the already existing Tariffs that we charge China while we continue to negotiate. China has agreed that during the negotiation they will begin purchasing large......,06-29-2019 21:22:11,5476,22759,false,1145080044429225989"
"Twitter for iPhone,After some very important meetings including my meeting with President Xi of China I will be leaving Japan for South Korea (with President Moon). While there if Chairman Kim of North Korea sees this I would meet him at the Border/DMZ just to shake his hand and say Hello(?)!,06-28-2019 22:51:41,39093,169271,false,1144740178948493314"
"Twitter for iPhone,China gets 91% of its Oil from the Straight Japan 62% &amp; many other countries likewise. So why are we protecting the shipping lanes for other countries (many years) for zero compensation. All of these countries should be protecting their own ships on what has always been....,06-24-2019 12:08:01,29116,138169,false,1143128642878410752"
"Twitter for iPhone,Had a very good telephone conversation with President Xi of China. We will be having an extended meeting next week at the G-20 in Japan. Our respective teams will begin talks prior to our meeting.,06-18-2019 13:39:38,17629,83109,false,1140977371421564928"
"Twitter for iPhone,Mario Draghi just announced more stimulus could come which immediately dropped the Euro against the Dollar making it unfairly easier for them to compete against the USA. They have been getting away with this for years along with China and others.,06-18-2019 10:53:44,14592,58420,false,1140935620291964928"
"Twitter for iPhone,""Biden would be China's Dream Candidate because there would be no more Tariffs no more demands that China stop stealing our IP things would go back to the old days with America's manufacturers &amp; workers getting shafted. He has Zero Credibility!"" @IngrahamAngle  So true!,06-13-2019 03:50:45,16730,66179,false,1139017233382985728"
"Twitter for iPhone,""Biden would be America's Dream Candidate because there would be no more Tariffs no more demands that China stop stealing our IP things would go back to the old days with America's manufacturers &amp; workers getting shafted. He has Zero Credibility!"" @IngrahamAngle  So true!,06-13-2019 03:07:58,3482,12873,false,1139006468286496773"
"Twitter for iPhone,....If Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar except they devalue currency and subsidize companies to lessen effect of 25% Tariff. So far little effect to consumer. Companies will relocate to U.S.,06-11-2019 13:14:13,12988,67770,false,1138434259637690375"
"Twitter for iPhone,China is subsidizing its product in order that it can continue to be sold in the USA. Many firms are leaving China for other countries including the United States in order to avoid paying the Tariffs. No visible increase in costs or inflation but U.S. is taking in Billions!,06-07-2019 16:36:55,15925,67954,false,1137035722043547649"
"Twitter for iPhone,China is subsidizing its product in order that it can continue to be sold in the USA. Many firms are leaving China for other countries including the United States in order to avoid paying the Tariffs. No visible increase in costs or inflation but U.S. is taking Billions!,06-03-2019 10:07:11,16997,74134,false,1135488087453253632"
"Twitter for iPhone,Washington Post got it wrong as usual. The U.S. is charging 25% against 250 Billion Dollars of goods shipped from China not 200 BD. Also China is paying a heavy cost in that they will subsidize goods to keep them coming devalue their currency yet companies are moving to.....,06-01-2019 20:37:03,18544,88727,false,1134921826604331011"
"Twitter for iPhone,RT @GOPChairwoman: The @realDonaldTrump administration's fight for better trade deals doesn't end with China. The president is working ha...,05-25-2019 20:45:45,8646,0,true,1132387299025670145"
"Twitter for iPhone,Looks like Bernie Sanders is history. Sleepy Joe Biden is pulling ahead and think about it I'm only here because of Sleepy Joe and the man who took him off the 1% trash heap President O! China wants Sleepy Joe BADLY!,05-20-2019 14:08:04,25412,112933,false,1130475280164896768"
"Twitter for iPhone,China will be pumping money into their system and probably reducing interest rates as always in order to make up for the business they are and will be losing. If the Federal Reserve ever did a ""match"" it would be game over we win! In any event China wants a deal!,05-14-2019 12:35:41,17219,72628,false,1128277703570984960"
"Twitter for iPhone,Our great Patriot Farmers will be one of the biggest beneficiaries of what is happening now. Hopefully China will do us the honor of continuing to buy our great farm product the best but if not your Country will be making up the difference based on a very high China buy......,05-14-2019 11:29:35,15910,78617,false,1128261066654408709"
"Twitter for iPhone,....This money will come from the massive Tariffs being paid to the United States for allowing China and others to do business with us. The Farmers have been ""forgotten"" for many years. Their time is now!,05-14-2019 11:29:35,13781,68891,false,1128261067422019584"
"Twitter for iPhone,When the time is right we will make a deal with China. My respect and friendship with President Xi is unlimited but as I have told him many times before this must be a great deal for the United States or it just doesn't make any sense. We have to be allowed to make up some.....,05-14-2019 11:16:58,20249,107048,false,1128257891805298690"
"Twitter for iPhone,....of the tremendous ground we have lost to China on Trade since the ridiculous one sided formation of the WTO. It will all happen and much faster than people think!,05-14-2019 11:16:58,15508,85117,false,1128257892514246657"
"Twitter for iPhone,We can make a deal with China tomorrow before their companies start leaving so as not to lose USA business but the last time we were close they wanted to renegotiate the deal. No way! We are in a much better position now than any deal we could have made. Will be taking in.....,05-14-2019 10:51:41,16000,76216,false,1128251530442940417"
"Twitter for iPhone,....so that they will be more competitive for USA buyers. We are now a much bigger economy than China and have substantially increased in size since the great 2016 Election. We are the ""piggy bank"" that everyone wants to raid and take advantage of. NO MORE!,05-14-2019 10:31:11,14440,71829,false,1128246370471694336"
"Twitter for iPhone,China buys MUCH less from us than we buy from them by almost 500 Billion Dollars so we are in a fantastic position. Make your product at home in the USA and there is no Tariff. You can also buy from a non-Tariffed country instead of China. Many companies are leaving China.....,05-14-2019 10:31:10,19724,93932,false,1128246369674829832"
"Twitter for iPhone,In one year Tariffs have rebuilt our Steel Industry - it is booming! We placed a 25% Tariff on ""dumped"" steel from China &amp; other countries and we now have a big and growing industry. We had to save Steel for our defense and auto industries both of which are coming back strong!,05-14-2019 10:15:50,18806,80684,false,1128242506771128320"
"Twitter for iPhone,..There will be nobody left in China to do business with. Very bad for China very good for USA! But China has taken so advantage of the U.S. for so many years that they are way ahead (Our Presidents did not do the job). Therefore China should not retaliate-will only get worse!,05-13-2019 15:55:23,16702,79611,false,1127965569821626368"
"Twitter for iPhone,There is no reason for the U.S. Consumer to pay the Tariffs which take effect on China today. This has been proven recently when only 4 points were paid by the U.S. 21 points by China because China subsidizes product to such a large degree. Also the Tariffs can be.....,05-13-2019 15:55:22,18882,88617,false,1127965567359574016"
"Twitter for iPhone,...completely avoided if you buy from a non-Tariffed Country or you buy the product inside the USA (the best idea). That's Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That's why China wants to make a deal so badly!...,05-13-2019 15:55:22,14834,73870,false,1127965568747933696"
"Twitter for iPhone,RT @GOPChairwoman: Joe Biden let China get away with cheating when he was Vice President and he continues to naively dismiss China today....,05-13-2019 13:12:14,14691,0,true,1127924514598412289"
"Twitter for iPhone,The unexpectedly good first quarter 3.2% GDP was greatly helped by Tariffs from China. Some people just don't get it!,05-13-2019 11:02:18,13492,58788,false,1127891815628144640"
"Twitter for iPhone,I say openly to President Xi &amp; all of my many friends in China that China will be hurt very badly if you don't make a deal because companies will be forced to leave China for other countries. Too expensive to buy in China. You had a great deal almost completed &amp; you backed out!,05-13-2019 10:49:24,20544,87353,false,1127888569543077888"
"Twitter for iPhone,Their is no reason for the U.S. Consumer to pay the Tariffs which take effect on China today. This has been proven recently when only 4 points were paid by the U.S. 21 points by China because China subsidizes product to such a large degree. Also the Tariffs can be.....,05-13-2019 10:40:25,11309,49347,false,1127886307118678016"
"Twitter for iPhone,....completely avoided if you by from a non-Tariffed Country or you buy the product inside the USA (the best idea). That's Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That's why China wants to make a deal so badly!...,05-13-2019 10:40:25,10000,45376,false,1127886307995336705"
"Twitter for iPhone,..There will be nobody left in China to do business with. Very bad for China very good for USA! But China has taken so advantage of the U.S. for so many years that they are way ahead (Our Presidents did not do the job). Therefore China should not retaliate-will only get worse!,05-13-2019 10:40:25,10570,47367,false,1127886309316599808"
"Twitter for iPhone,China is DREAMING that Sleepy Joe Biden or any of the others gets elected in 2020. They LOVE ripping off America!,05-12-2019 23:22:39,19120,80908,false,1127715742898692097"
"Twitter for iPhone,We are right where we want to be with China. Remember they broke the deal with us &amp; tried to renegotiate. We will be taking in Tens of Billions of Dollars in Tariffs from China. Buyers of product can make it themselves in the USA (ideal) or buy it from non-Tariffed countries...,05-12-2019 21:06:05,19411,90463,false,1127681372896800768"
"Twitter for iPhone,....We will then spend (match or better) the money that China may no longer be spending with our Great Patriot Farmers (Agriculture) which is a small percentage of total Tariffs received and distribute the food to starving people in nations around the world! GREAT! #MAGA,05-12-2019 21:06:05,15564,73758,false,1127681373966409730"
"Twitter for iPhone,RT @realDonaldTrump: I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around fo...,05-12-2019 03:40:29,26036,0,true,1127418239301169152"
"Twitter for iPhone,RT @GOPChairwoman: An Ohio manufacturing CEO explains that cracking down on China has meant stability and predictability for his business....,05-11-2019 23:27:40,13558,0,true,1127354617648619521"
"Twitter for iPhone,I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around for the next election 2020 to see if they could get lucky &amp; have a Democrat win - in which case they would continue to rip-off the USA for $500 Billion a year....,05-11-2019 22:18:30,26036,116215,false,1127337211777757191"
"Twitter for iPhone,RT @GovMikeHuckabee: I sure wish Sen Richard Burr was as interested in Biden's cushy deals w/ Ukraine &amp; China while VP than he is in the ha...,05-11-2019 12:19:42,15466,0,true,1127186517066178562"
"Twitter for iPhone,RT @GOPChairwoman: While @realDonaldTrump is standing up to China's unfair trade practices Joe Biden says they are not ""competition for us...,05-11-2019 12:17:49,11297,0,true,1127186042648498177"
"Twitter for iPhone,RT @GOP: ""This is crazy... China not being a threat? [Biden is] so out of touch."" -@kayleighmcenany https://t.co/wlpYxS7wTS,05-11-2019 12:16:08,5271,0,true,1127185620005216256"
"Twitter for iPhone,RT @LindseyGrahamSC: When it comes to China they will never change their behavior until someone stands up to them.  I'm proud of President...,05-11-2019 12:14:54,6461,0,true,1127185307386941442"
